,,,-45.35999894E-3,184.00000000,,,,,-45.35999894E-3,-4.00000000,
,,,-45.32000050E-3,186.00000000,,,,,-45.32000050E-3,-4.00000000,
,,,-45.27999833E-3,186.00000000,,,,,-45.27999833E-3,-4.00000000,
,,,-45.23999989E-3,186.00000000,,,,,-45.23999989E-3,-2.0000000,
,,,-45.19999772E-3,184.00000000,,,,,-45.19999772E-3,-4.00000000,
,,,-45.15999928E-3,186.00000000,,,,,-45.15999928E-3,-4.00000000,
,,,-45.11999711E-3,186.00000000,,,,,-45.11999711E-3,-4.00000000,
,,,-45.07999867E-3,188.00000000,,,,,-45.07999867E-3,-4.00000000,
,,,-45.04000023E-3,186.00000000,,,,,-45.04000023E-3,-2.0000000,
,,,-44.99999806E-3,188.00000000,,,,,-44.99999806E-3,-4.00000000,
,,,-44.95999962E-3,186.00000000,,,,,-44.95999962E-3,-4.00000000,
,,,-44.91999745E-3,186.00000000,,,,,-44.91999745E-3,-4.00000000,
,,,-44.87999901E-3,186.00000000,,,,,-44.87999901E-3,-4.00000000,
,,,-44.84000057E-3,188.00000000,,,,,-44.84000057E-3,-4.00000000,
,,,-44.79999840E-3,190.00000000,,,,,-44.79999840E-3,-4.00000000,
,,,-44.75999996E-3,188.00000000,,,,,-44.75999996E-3,-4.00000000,
,,,-44.71999779E-3,186.00000000,,,,,-44.71999779E-3,-4.00000000,
,,,-44.67999935E-3,184.00000000,,,,,-44.67999935E-3,-2.0000000,
,,,-44.63999718E-3,182.00000000,,,,,-44.63999718E-3,-4.00000000,
,,,-44.59999874E-3,182.00000000,,,,,-44.59999874E-3,-4.00000000,
,,,-44.56000030E-3,186.00000000,,,,,-44.56000030E-3,-4.00000000,
,,,-44.51999813E-3,188.00000000,,,,,-44.51999813E-3,-2.0000000,
,,,-44.47999969E-3,190.00000000,,,,,-44.47999969E-3,-4.00000000,
,,,-44.43999752E-3,188.00000000,,,,,-44.43999752E-3,-4.00000000,
,,,-44.39999908E-3,184.00000000,,,,,-44.39999908E-3,-4.00000000,
,,,-44.36000064E-3,182.00000000,,,,,-44.36000064E-3,-4.00000000,
